month,maxpsi,airqualitydesc,airqualitylevel,yearmonthstr,ascott_month_open,ascott_month_close,ascott_month_trend,genting_month_open,genting_month_close,genting_month_trend,hotel_prop_month_open,hotel_prop_month_close,hotel_prop_month_trend,mandarin_month_open,mandarin_month_close,mandarin_month_trend,singair_month_open,singair_month_close,singair_month_trend,tourist_month,total_international,total_international_1,total_international_trend,southeast_asia,southeast_asia_1,southeast_asia_trend,greater_china,greater_china_1,greater_china_trend,north_asia,north_asia_1,north_asia_trend,south_asia,south_asia_1,south_asia_trend,west_asia,west_asia_1,west_asia_trend,americas,americas_1,americas_trend,oceania,oceania_1,oceania_trend,africa,africa_1,africa_trend,others,others_1,others_trend
201307,53,Normal,1,201307,1.19103,1.16323,Downtrend,1.325,1.325,Downtrend,3.15,3.13,,1.52795,1.49966,Downtrend,10.06,10.11,Uptrend,201307,1419657,1288950,Uptrend,512094,557007,Downtrend,,,Downtrend,,,Downtrend,94977,121033,Downtrend,12094,13492,Downtrend,56982,56120,Uptrend,128839,103350,Uptrend,5251,5309,Downtrend,42,86,Downtrend
201609,81,Elevated,2,201609,1.08828,1.09307,Uptrend,0.715,0.75,Uptrend,3.39,3.51,,1.35,1.305,Downtrend,10.51,10.51,Downtrend,201609,1144144,1481908,Downtrend,413205,447760,Downtrend,,,Downtrend,,,Downtrend,97421,107284,Downtrend,17869,22598,Downtrend,42907,48662,Downtrend,105401,92289,Uptrend,5317,6491,Downtrend,0,0,Downtrend
201512,73,Elevated,2,201512,1.13622,1.13622,Downtrend,0.765,0.77,Uptrend,3.73,3.81,,1.5,1.55,Uptrend,10.22,11.2,Uptrend,201512,1424978,1203992,Uptrend,612913,455128,Uptrend,,,Downtrend,,,Downtrend,114739,109202,Uptrend,15497,11096,Uptrend,60391,55156,Uptrend,113008,87044,Uptrend,9152,5429,Uptrend,0,5,Downtrend
201411,120,Elevated,2,201411,1.18896,1.22251,Uptrend,1.105,1.14,Uptrend,4.05,4.11,,1.66472,1.6317,Downtrend,9.96,10.78,Uptrend,201411,1144230,1203527,Downtrend,463159,485039,Downtrend,,,Downtrend,,,Downtrend,92377,110357,Downtrend,10844,14898,Downtrend,52340,47970,Uptrend,81969,97885,Downtrend,5517,4206,Uptrend,4,205,Downtrend
201012,54,Normal,1,201012,1.11225,1.13079,Uptrend,2.0,2.19,Uptrend,2.81,2.79,,1.93352,1.95239,Uptrend,15.48,15.3,Downtrend,201012,1127581,964170,Uptrend,533890,391582,Uptrend,,,Downtrend,,,Downtrend,96082,89484,Uptrend,10819,13507,Downtrend,44766,43978,Uptrend,95126,72468,Uptrend,10218,5847,Uptrend,0,3,Downtrend
200904,50,Normal,1,200904,0.3768,0.45951,Uptrend,0.49753,0.58364,Uptrend,0.95,1.02,,0.78756,0.93375,Uptrend,10.0,10.7,Uptrend,200904,778975,791236,Downtrend,292558,283896,Uptrend,,,Downtrend,,,Downtrend,73709,61328,Uptrend,7817,14730,Downtrend,36347,41421,Downtrend,72719,60594,Uptrend,6056,5577,Uptrend,2,103,Downtrend
201705,83,Elevated,2,201705,1.095,1.125,Uptrend,1.12,1.18,Uptrend,4.0,3.95,,1.465,1.46,Downtrend,10.34,10.01,Downtrend,201705,1363897,1470750,Downtrend,502134,555812,Downtrend,298939,338068,Downtrend,106798,95081,Uptrend,195198,134505,Uptrend,10189,12708,Downtrend,54290,55815,Downtrend,83916,108477,Downtrend,4792,7204,Downtrend,0,0,Downtrend
201910,69,Elevated,2,201910,1.32,1.39,Uptrend,0.885,0.93,Uptrend,3.46,3.71,,1.52,1.71,Uptrend,9.19,9.11,Downtrend,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201402,46,Normal,1,201402,1.14101,1.10745,Downtrend,1.375,1.345,Downtrend,2.94,2.98,,1.58455,1.59398,Uptrend,9.59,10.22,Uptrend,201402,1238239,1345842,Downtrend,440212,497205,Downtrend,,,Downtrend,,,Downtrend,81187,85714,Downtrend,11577,11464,Uptrend,58987,60373,Downtrend,76921,138983,Downtrend,4246,5741,Downtrend,22,21,Uptrend
201510,229,High,3,201510,1.1554,1.16019,Uptrend,0.73,0.815,Uptrend,3.74,3.71,,1.53,1.53,Downtrend,10.82,10.8,Downtrend,201510,1246947,1131976,Uptrend,465052,414155,Uptrend,,,Downtrend,,,Downtrend,110301,91560,Uptrend,10882,15313,Downtrend,52975,42354,Uptrend,109158,110596,Downtrend,5876,5219,Uptrend,3,3,Downtrend
201303,53,Normal,1,201303,1.24665,1.27909,Uptrend,1.545,1.495,Downtrend,3.15,3.29,,1.52795,1.52795,Downtrend,10.86,10.87,Uptrend,201303,1368891,1221365,Uptrend,523832,405346,Uptrend,,,Downtrend,,,Downtrend,91079,76153,Uptrend,14304,9734,Uptrend,62010,54116,Uptrend,95908,76185,Uptrend,5774,3678,Uptrend,587,326,Uptrend
201606,70,Elevated,2,201606,1.08828,1.04513,Downtrend,0.735,0.725,Downtrend,3.46,3.38,,1.465,1.355,Downtrend,10.7,10.66,Downtrend,201606,1270542,1357546,Downtrend,493491,541795,Downtrend,,,Downtrend,,,Downtrend,130190,164574,Downtrend,8633,11708,Downtrend,56233,50578,Uptrend,90417,75598,Uptrend,3942,4952,Downtrend,1,0,Uptrend
200902,57,Elevated,2,200902,0.47789,0.33085,Downtrend,0.41142,0.40185,Downtrend,1.03,0.89,,0.75455,0.61778,Downtrend,11.02,10.18,Downtrend,200902,689935,772138,Downtrend,231174,243584,Downtrend,,,Downtrend,,,Downtrend,56130,61028,Downtrend,7176,7109,Uptrend,35014,38044,Downtrend,56345,88918,Downtrend,4454,6879,Downtrend,0,3,Downtrend
201308,46,Normal,1,201308,1.16786,1.10761,Downtrend,1.34,1.315,Downtrend,3.16,2.97,,1.50909,1.49494,Downtrend,10.15,9.47,Downtrend,201308,1483520,1419657,Uptrend,585102,512094,Uptrend,,,Downtrend,,,Downtrend,90823,94977,Downtrend,24739,12094,Uptrend,49860,56982,Downtrend,91154,128839,Downtrend,5365,5251,Uptrend,29,42,Downtrend
201407,64,Elevated,2,201407,1.17457,1.18416,Uptrend,1.335,1.335,Downtrend,4.0,4.34,,1.80619,1.74017,Downtrend,10.37,10.33,Downtrend,201407,1408400,1181422,Uptrend,568294,552708,Uptrend,,,Downtrend,,,Downtrend,91829,117244,Downtrend,16438,12928,Uptrend,54557,50634,Uptrend,121953,93720,Uptrend,5445,4391,Uptrend,0,7,Downtrend
201005,58,Elevated,2,201005,1.10282,0.98335,Downtrend,0.945,1.06,Uptrend,2.34,2.09,,1.56568,1.30159,Downtrend,15.02,14.42,Downtrend,201005,946676,939013,Uptrend,403211,390638,Uptrend,,,Downtrend,,,Downtrend,133278,94417,Uptrend,8692,9170,Downtrend,40131,43034,Downtrend,72648,77745,Downtrend,5015,6459,Downtrend,0,2,Downtrend
200905,55,Normal,1,200905,0.45951,0.61115,Uptrend,0.58364,0.69846,Uptrend,1.02,1.78,,0.93375,1.50909,Uptrend,10.7,12.5,Uptrend,200905,726391,778975,Downtrend,286750,292558,Downtrend,,,Downtrend,,,Downtrend,104524,73709,Uptrend,7251,7817,Downtrend,33982,36347,Downtrend,68000,72719,Downtrend,5020,6056,Downtrend,10,2,Uptrend
201305,48,Normal,1,201305,1.30689,1.24665,Downtrend,1.62,1.45,Downtrend,3.46,3.31,,1.61284,1.6317,Uptrend,11.0,10.74,Downtrend,201305,1288282,1274246,Uptrend,534890,497388,Uptrend,,,Downtrend,,,Downtrend,141973,101705,Uptrend,8816,11626,Downtrend,47762,52338,Downtrend,95908,104538,Downtrend,4516,5071,Downtrend,96,59,Uptrend
201611,69,Elevated,2,201611,1.09307,1.08828,Downtrend,0.74,0.97,Uptrend,3.4,3.86,,1.365,1.28,Downtrend,10.14,10.0,Downtrend,201611,1235433,1237675,Downtrend,465948,471598,Downtrend,,,Downtrend,,,Downtrend,114255,119033,Downtrend,11281,11017,Uptrend,60401,53083,Uptrend,83536,97974,Downtrend,6488,6022,Uptrend,1,0,Uptrend
201507,76,Elevated,2,201507,1.2369,1.19854,Downtrend,0.895,0.88,Downtrend,3.9,4.0,,1.59,1.585,Downtrend,10.67,10.74,Uptrend,201507,1519233,1184747,Uptrend,579570,496392,Uptrend,,,Downtrend,,,Downtrend,106930,121413,Downtrend,20337,9962,Uptrend,56524,55325,Uptrend,113551,95694,Uptrend,5398,4061,Uptrend,1,0,Uptrend
201302,33,Normal,1,201302,1.25128,1.24665,Downtrend,1.54,1.575,Uptrend,3.18,3.15,,1.57983,1.52795,Downtrend,11.04,10.89,Downtrend,201302,1221365,1291718,Downtrend,405346,460013,Downtrend,,,Downtrend,,,Downtrend,76153,92370,Downtrend,9734,10529,Downtrend,54116,61383,Downtrend,76185,132868,Downtrend,3678,6348,Downtrend,326,145,Uptrend
